"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2025-05-04","472","490","470","470.5","0.42 %","259,500.00"
"BPCL","2025-04-30","448","484.9","448","468.55","4.51 %","435,271.00"
"BPCL","2025-04-29","448","455","437.2","448.33","0.51 %","89,018.00"
"BPCL","2025-04-28","453","454.5","431.2","446.06","0.09 %","78,291.00"
"BPCL","2025-04-27","425","448","420","445.66","6.65 %","204,846.00"
"BPCL","2025-04-24","415","423","408","417.89","0.91 %","32,576.00"
"BPCL","2025-04-23","425","425","411.7","414.12","-1.93 %","13,900.00"
"BPCL","2025-04-22","444","449.9","422","422.25","-3.13 %","43,651.00"
"BPCL","2025-04-21","422","443","421.2","435.89","3.27 %","82,501.00"
"BPCL","2025-04-20","421","430","415","422.1","1.77 %","59,789.00"
"BPCL","2025-04-17","405","420","405","414.76","1.48 %","39,000.00"
"BPCL","2025-04-16","400.2","410","400.2","408.71","1.33 %","5,608.00"
"BPCL","2025-04-15","399.5","422","397","403.34","1.09 %","15,310.00"
"BPCL","2025-04-13","404.5","407","398","398.99","-1.35 %","17,532.00"
"BPCL","2025-04-10","411.1","411.1","400","404.45","-2.38 %","31,444.00"
"BPCL","2025-04-09","414","420.9","413.1","414.3","-0.79 %","9,214.00"
"BPCL","2025-04-08","426.9","429.9","413","417.59","-1.40 %","35,133.00"
"BPCL","2025-04-07","404","427.4","404","423.53","6.63 %","113,778.00"
"BPCL","2025-04-03","400","408","397","397.2","0.07 %","12,342.00"
"BPCL","2025-04-02","405.9","405.9","395","396.91","-0.44 %","7,197.00"
"BPCL","2025-04-01","398","400.1","393","398.66","-0.37 %","6,311.00"
"BPCL","2025-03-30","402","411","398.9","400.14","0.67 %","16,858.00"
"BPCL","2025-03-27","396","403.9","388.1","397.48","2.22 %","12,868.00"
"BPCL","2025-03-26","380.7","393","380.7","388.85","1.03 %","8,759.00"
"BPCL","2025-03-25","394","394","384","384.9","-2.54 %","12,260.00"
"BPCL","2025-03-24","389.6","396.6","385","394.93","1.37 %","12,720.00"
"BPCL","2025-03-23","390.2","395","387","389.6","-0.33 %","35,496.00"
"BPCL","2025-03-20","394","395.8","390","390.9","-0.66 %","10,938.00"
"BPCL","2025-03-19","405","405","393.5","393.5","-1.13 %","11,152.00"
"BPCL","2025-03-18","407.1","415","397.1","398","-0.30 %","6,239.00"
"BPCL","2025-03-17","401","407","399.2","399.2","-0.45 %","7,839.00"
"BPCL","2025-03-16","411","411","400","401","-0.50 %","14,602.00"
"BPCL","2025-03-12","400","408","400","403","0.50 %","12,115.00"
"BPCL","2025-03-11","410","410","399","401","-2.20 %","38,526.00"
"BPCL","2025-03-10","411.2","418","410","410","-0.97 %","17,969.00"
"BPCL","2025-03-09","411.6","418.8","403.4","414","-1.43 %","18,182.00"
"BPCL","2025-03-06","427","436.8","415.1","420","0.00 %","10,553.00"
"BPCL","2025-03-05","428","428.9","419","420","-1.43 %","21,539.00"
"BPCL","2025-03-04","446.9","460","426","426.1","-3.81 %","30,995.00"
"BPCL","2025-03-03","454.8","482.4","433","443","-0.65 %","65,723.00"
"BPCL","2025-03-02","423","456","415","445.9","7.45 %","99,160.00"
"BPCL","2025-02-27","415","417.1","407.2","415","0.97 %","23,432.00"
"BPCL","2025-02-25","421.9","422","408.2","411","-1.32 %","16,067.00"
"BPCL","2025-02-24","420.9","430","407.2","416.5","0.36 %","15,961.00"
"BPCL","2025-02-23","408","425","400.4","415","-0.24 %","30,203.00"
"BPCL","2025-02-20","426","434","413","416","-2.35 %","16,880.00"
"BPCL","2025-02-18","419.9","431","414","426","3.40 %","66,466.00"
"BPCL","2025-02-17","410","413","401.9","412","1.73 %","63,136.00"
"BPCL","2025-02-16","400.2","408","398.2","405","0.50 %","14,333.00"
"BPCL","2025-02-13","414.6","414.6","402","403","-0.86 %","18,875.00"
"BPCL","2025-02-12","414.9","414.9","405","406.5","-1.55 %","15,268.00"
"BPCL","2025-02-11","423.3","423.3","408.2","412.9","-0.51 %","11,859.00"
"BPCL","2025-02-10","410","415","403","415","1.22 %","21,971.00"
"BPCL","2025-02-09","405","412.9","400","410","1.21 %","29,632.00"
"BPCL","2025-02-06","412.9","413","405.1","405.1","-0.47 %","19,871.00"
"BPCL","2025-02-05","412.4","413","405.1","407","-0.73 %","15,734.00"
"BPCL","2025-02-04","416","416","404.1","410","0.07 %","23,780.00"
"BPCL","2025-02-03","415","419","405","409.7","0.37 %","21,924.00"
"BPCL","2025-02-02","402","415","402","408.2","2.72 %","57,863.00"
"BPCL","2025-01-28","406","406","395","397.4","-0.65 %","10,994.00"
"BPCL","2025-01-27","393","400.5","393","400","0.00 %","16,614.00"
"BPCL","2025-01-26","390.5","400","390.5","400","1.24 %","17,057.00"
"BPCL","2025-01-23","399","415","395.1","395.1","-0.98 %","12,948.00"
"BPCL","2025-01-22","380.1","404","380.1","399","3.96 %","35,610.00"
"BPCL","2025-01-21","389","389","379.2","383.8","-0.70 %","15,692.00"
"BPCL","2025-01-20","392","392","385","386.5","0.13 %","14,410.00"
"BPCL","2025-01-19","390","390","383","386","-0.31 %","6,025.00"
"BPCL","2025-01-16","390.1","395","386.5","387.2","-1.50 %","9,674.00"
"BPCL","2025-01-15","396","399","393","393.1","-0.63 %","12,272.00"
"BPCL","2025-01-13","400","400","392","395.6","-1.10 %","9,603.00"
"BPCL","2025-01-12","400","410.1","393","400","0.13 %","11,534.00"
"BPCL","2025-01-09","415","415","398.9","399.5","-1.84 %","17,603.00"
"BPCL","2025-01-08","415.1","415.1","399","407","0.00 %","9,944.00"
"BPCL","2025-01-07","410","418","402","407","1.24 %","12,523.00"
"BPCL","2025-01-06","400","403","396","402","1.52 %","13,204.00"
"BPCL","2025-01-05","409","409","394","396","-1.61 %","10,505.00"
"BPCL","2025-01-02","388","402.5","380","402.5","3.74 %","26,921.00"
"BPCL","2025-01-01","380","394","379.1","388","1.04 %","18,790.00"
"BPCL","2024-12-31","389","389","375.1","384","-1.29 %","16,021.00"
"BPCL","2024-12-29","390","397.8","375.5","389","-0.26 %","26,997.00"
"BPCL","2024-12-26","397","399","390","390","-1.76 %","10,781.00"
"BPCL","2024-12-24","394","400","390","397","2.58 %","26,261.00"
"BPCL","2024-12-23","383.3","390.8","378","387","0.99 %","12,031.00"
"BPCL","2024-12-22","400.8","400.8","382.3","383.2","-2.49 %","23,891.00"
"BPCL","2024-12-19","395","395","382.1","393","0.26 %","43,175.00"
"BPCL","2024-12-18","400","405.9","390.1","392","-0.51 %","10,153.00"
"BPCL","2024-12-17","392","412.9","390","394","-1.48 %","27,142.00"
"BPCL","2024-12-16","407","417.9","398","399.9","-2.91 %","23,208.00"
"BPCL","2024-12-12","417","423.9","408","411.9","-1.22 %","19,202.00"
"BPCL","2024-12-11","414","419.1","400","417","0.72 %","20,958.00"
"BPCL","2024-12-10","425.9","425.9","409.7","414","-0.96 %","20,826.00"
"BPCL","2024-12-09","441","441","416","418","-3.69 %","38,774.00"
"BPCL","2024-12-08","445","445","433","434","-1.92 %","38,212.00"
"BPCL","2024-12-05","453.5","453.8","440.2","442.5","-0.78 %","21,713.00"
"BPCL","2024-12-04","443.1","459","440","446","0.65 %","22,994.00"
"BPCL","2024-12-03","447.6","455","442","443.1","0.93 %","13,247.00"
"BPCL","2024-12-02","449","450","438.1","439","-0.54 %","25,750.00"
