"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CHCL","2025-05-04","493","502","486.2","492.91","1.41 %","99,801.00"
"CHCL","2025-04-30","485","494","480.3","486.06","1.58 %","73,955.00"
"CHCL","2025-04-29","472.8","497","472.8","478.52","-0.80 %","65,150.00"
"CHCL","2025-04-28","491","497","481","482.39","-1.50 %","86,774.00"
"CHCL","2025-04-27","480.1","498.6","476.3","489.72","2.65 %","101,346.00"
"CHCL","2025-04-24","476","480","469.7","477.07","0.41 %","54,611.00"
"CHCL","2025-04-23","486","492","474.1","475.11","-2.60 %","145,368.00"
"CHCL","2025-04-22","499.8","499.8","486.1","487.77","-1.80 %","49,812.00"
"CHCL","2025-04-21","504.9","504.9","494","496.72","0.34 %","71,234.00"
"CHCL","2025-04-20","488","512","487","495.02","1.18 %","127,350.00"
"CHCL","2025-04-17","483","498","483","489.25","1.20 %","74,572.00"
"CHCL","2025-04-16","485.1","485.5","474.5","483.45","-0.14 %","72,379.00"
"CHCL","2025-04-15","475","487.7","471","484.11","1.90 %","42,529.00"
"CHCL","2025-04-13","480","480","473","475.08","0.24 %","24,766.00"
"CHCL","2025-04-10","474","479.8","470","473.93","-0.28 %","50,652.00"
"CHCL","2025-04-09","482","482","473","475.25","0.41 %","44,671.00"
"CHCL","2025-04-08","478","478.1","472.5","473.33","-0.82 %","35,484.00"
"CHCL","2025-04-07","481","483","476.9","477.23","-0.88 %","108,920.00"
"CHCL","2025-04-03","481.5","486.6","480.2","481.48","0.03 %","27,770.00"
"CHCL","2025-04-02","480.3","487","480","481.34","-0.35 %","31,846.00"
"CHCL","2025-04-01","490","491","481","483.04","-1.48 %","39,625.00"
"CHCL","2025-03-30","485","498.3","480","490.31","0.35 %","68,326.00"
"CHCL","2025-03-27","478","498","477.3","488.59","2.10 %","45,311.00"
"CHCL","2025-03-26","482","483","476.5","478.53","0.34 %","33,332.00"
"CHCL","2025-03-25","485","485","476","476.91","-2.62 %","53,572.00"
"CHCL","2025-03-24","485.3","496.3","478.6","489.75","1.32 %","46,495.00"
"CHCL","2025-03-23","496","496","482","483.35","-1.60 %","43,867.00"
"CHCL","2025-03-20","499","499","490.1","491.23","-1.52 %","31,034.00"
"CHCL","2025-03-19","501","503.7","495","498.8","-0.70 %","28,874.00"
"CHCL","2025-03-18","504.2","507","495","502.3","-0.32 %","53,148.00"
"CHCL","2025-03-17","506","510","500","503.9","-0.24 %","25,453.00"
"CHCL","2025-03-16","511","512","504","505.1","-0.96 %","29,650.00"
"CHCL","2025-03-12","507.1","515.5","507.1","510","-0.58 %","29,039.00"
"CHCL","2025-03-11","517","525.6","512","513","-0.64 %","43,104.00"
"CHCL","2025-03-10","532","534","515.1","516.3","-1.66 %","23,864.00"
"CHCL","2025-03-09","530","533.4","520","525","-0.87 %","68,805.00"
"CHCL","2025-03-06","525.5","529.7","518","529.6","1.30 %","43,314.00"
"CHCL","2025-03-05","533","533","521","522.8","-1.91 %","47,580.00"
"CHCL","2025-03-04","540","541","530","533","-1.11 %","57,440.00"
"CHCL","2025-03-03","556.2","558.3","537","539","-2.12 %","91,865.00"
"CHCL","2025-03-02","540","551","536","550.7","1.98 %","125,379.00"
"CHCL","2025-02-27","528.4","540","515","540","2.90 %","73,973.00"
"CHCL","2025-02-25","517","530","510.6","524.8","0.15 %","100,372.00"
"CHCL","2025-02-24","513.1","525.3","511","524","1.37 %","51,064.00"
"CHCL","2025-02-23","516","520","508","516.9","-0.21 %","43,214.00"
"CHCL","2025-02-20","522","524","511.6","518","-0.77 %","37,492.00"
"CHCL","2025-02-18","530.2","530.2","520","522","-0.76 %","37,625.00"
"CHCL","2025-02-17","535","535","525","526","-1.31 %","30,226.00"
"CHCL","2025-02-16","528.3","534","527","533","-0.19 %","33,847.00"
"CHCL","2025-02-13","520.1","540.6","520","534","0.95 %","103,270.00"
"CHCL","2025-02-12","515.6","531.9","515.6","529","0.76 %","59,327.00"
"CHCL","2025-02-11","516.5","529","515.1","525","0.02 %","44,446.00"
"CHCL","2025-02-10","531","531","517.5","524.9","0.15 %","48,931.00"
"CHCL","2025-02-09","535.1","536","523","524.1","-2.04 %","62,587.00"
"CHCL","2025-02-06","526.5","543","518","535","2.81 %","156,443.00"
