"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CIT","2025-05-06","1928","1928","1919.1","1921.66","-0.35 %","11,078.00"
"CIT","2025-05-05","1935","1935","1920","1928.32","0.25 %","6,644.00"
"CIT","2025-05-04","1950","1950","1919","1923.42","-0.07 %","17,588.00"
"CIT","2025-04-30","1925","1935","1920","1924.72","0.05 %","11,714.00"
"CIT","2025-04-29","1953.8","1953.8","1920","1923.74","-0.68 %","15,913.00"
"CIT","2025-04-28","1950","1954","1935","1936.92","-0.69 %","12,800.00"
"CIT","2025-04-27","1955","1978","1940","1950.38","0.07 %","20,566.00"
"CIT","2025-04-24","1947","1960","1940","1949.07","-0.10 %","13,123.00"
"CIT","2025-04-23","1970","1970.9","1945","1951.1","-0.89 %","15,043.00"
"CIT","2025-04-22","1971.85","1980","1960","1968.65","-0.16 %","11,234.00"
"CIT","2025-04-21","1961","1990","1961","1971.85","-0.44 %","8,776.00"
"CIT","2025-04-20","2003.7","2013","1970","1980.48","-0.50 %","9,867.00"
"CIT","2025-04-17","1965","2015","1950","1990.47","1.48 %","28,841.00"
"CIT","2025-04-16","1972","1972","1950","1961.51","0.02 %","8,319.00"
"CIT","2025-04-15","1955","1973.9","1946","1961.06","0.87 %","9,506.00"
"CIT","2025-04-13","1936","1955","1936","1944.14","0.11 %","6,837.00"
"CIT","2025-04-10","1958","1958","1936","1942.1","-0.45 %","18,055.00"
"CIT","2025-04-09","1980","1980","1940","1950.96","0.50 %","5,325.00"
"CIT","2025-04-08","1940.5","1954","1939.1","1941.22","-0.67 %","14,116.00"
"CIT","2025-04-07","1970","1990","1940","1954.41","-0.82 %","22,248.00"
"CIT","2025-04-03","1985","1989.9","1968","1970.54","-0.47 %","7,029.00"
"CIT","2025-04-02","1994","1994.9","1965","1979.76","-0.03 %","3,501.00"
"CIT","2025-04-01","1988","1999","1970","1980.33","-0.35 %","5,040.00"
"CIT","2025-03-30","1960.67","2000","1960","1987.22","1.35 %","10,007.00"
"CIT","2025-03-27","1974","1975","1950","1960.67","0.44 %","5,958.00"
"CIT","2025-03-26","1980","1980","1940","1952.13","0.29 %","9,527.00"
"CIT","2025-03-25","1969","1969","1940","1946.43","-0.72 %","18,731.00"
"CIT","2025-03-24","1952.7","1961","1935","1960.54","0.40 %","9,593.00"
"CIT","2025-03-23","1970","1970","1950","1952.7","-0.90 %","12,075.00"
"CIT","2025-03-20","1980","1980","1970","1970.5","-0.20 %","8,395.00"
"CIT","2025-03-19","1975","1991","1972","1974.5","-0.13 %","7,147.00"
"CIT","2025-03-18","2020.6","2020.6","1975","1977","-0.20 %","6,778.00"
"CIT","2025-03-17","1970","1990","1970","1981","0.25 %","7,342.00"
"CIT","2025-03-16","1998","1998","1970","1976","-1.10 %","13,309.00"
"CIT","2025-03-12","1995","2002","1990","1998","0.40 %","11,015.00"
