"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NABIL","2025-05-04","480","487.4","477","478.32","0.03 %","44,594.00"
"NABIL","2025-04-30","480","487","478","478.18","-0.68 %","49,915.00"
"NABIL","2025-04-29","480","488","480","481.45","0.03 %","29,998.00"
"NABIL","2025-04-28","485.3","487.9","480.6","481.3","-0.76 %","45,746.00"
"NABIL","2025-04-27","490","490","483.2","485.01","-0.18 %","50,578.00"
"NABIL","2025-04-24","483","489.9","483","485.87","-0.18 %","30,597.00"
"NABIL","2025-04-23","487","488","482","486.77","-0.20 %","65,014.00"
"NABIL","2025-04-22","490","494","485","487.76","-0.63 %","31,332.00"
"NABIL","2025-04-21","494.9","495","490","490.87","-0.25 %","49,104.00"
"NABIL","2025-04-20","500","501.2","490","492.09","-0.46 %","79,228.00"
"NABIL","2025-04-17","490.8","495.6","489","494.38","1.04 %","54,656.00"
"NABIL","2025-04-16","497","497","488","489.31","0.28 %","43,376.00"
"NABIL","2025-04-15","496","496","486","487.96","0.20 %","62,586.00"
"NABIL","2025-04-13","495.6","495.6","484.1","486.97","0.21 %","44,237.00"
"NABIL","2025-04-10","491","492.4","484","485.97","-0.06 %","30,292.00"
"NABIL","2025-04-09","494","494","483.2","486.27","0.33 %","26,187.00"
"NABIL","2025-04-08","485","486","478","484.65","-0.48 %","38,820.00"
"NABIL","2025-04-07","490","497","482","486.97","-0.36 %","46,130.00"
"NABIL","2025-04-03","491","494","486.1","488.73","0.72 %","42,041.00"
"NABIL","2025-04-02","494.2","494.2","484","485.26","0.14 %","36,189.00"
"NABIL","2025-04-01","490","493","483","484.56","-0.29 %","37,377.00"
"NABIL","2025-03-30","485","492","484","485.96","0.18 %","52,866.00"
"NABIL","2025-03-27","490.9","490.9","480","485.09","0.79 %","38,210.00"
"NABIL","2025-03-26","485","485","477","481.31","0.25 %","49,757.00"
"NABIL","2025-03-25","485","485","478","480.13","-0.81 %","78,144.00"
"NABIL","2025-03-24","484.5","486","476.5","484.03","0.29 %","54,964.00"
"NABIL","2025-03-23","488","488","482","482.62","-0.96 %","48,632.00"
"NABIL","2025-03-20","489","490","487","487.31","-0.33 %","36,716.00"
"NABIL","2025-03-19","495","496","487","488.9","-0.51 %","49,272.00"
