"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICA","2025-05-04","350","352.5","346","349.46","0.76 %","42,458.00"
"NICA","2025-04-30","350.3","351","346.3","346.84","-1.35 %","119,600.00"
"NICA","2025-04-29","353","354.1","350","351.57","-0.37 %","63,441.00"
"NICA","2025-04-28","358","358","350.2","352.89","-0.34 %","64,893.00"
"NICA","2025-04-27","355.5","361","353","354.09","-1.00 %","67,402.00"
"NICA","2025-04-24","351.1","363","351.1","357.67","-0.15 %","47,357.00"
"NICA","2025-04-23","365","365","357","358.22","-1.92 %","81,937.00"
"NICA","2025-04-22","364","367.4","361.6","365.22","0.41 %","62,793.00"
"NICA","2025-04-21","370","370","362.8","363.72","-1.65 %","128,678.00"
"NICA","2025-04-20","375.5","375.5","369","369.81","-3.46 %","122,259.00"
"NICA","2025-04-17","379","385","378","383.07","1.38 %","59,899.00"
"NICA","2025-04-16","385","385","377","377.87","-0.24 %","26,891.00"
"NICA","2025-04-15","383","383","375.4","378.78","0.73 %","28,213.00"
"NICA","2025-04-13","378","379.9","371","376.04","-0.40 %","39,615.00"
"NICA","2025-04-10","375","379","375","377.54","0.65 %","38,690.00"
"NICA","2025-04-09","374","378.5","373","375.1","0.70 %","18,012.00"
"NICA","2025-04-08","374","374.9","370","372.49","-1.15 %","37,140.00"
"NICA","2025-04-07","380","384","375","376.82","-0.34 %","39,850.00"
"NICA","2025-04-03","373","409","371","378.09","1.62 %","78,106.00"
"NICA","2025-04-02","379.2","379.2","368.6","372.08","0.08 %","22,972.00"
"NICA","2025-04-01","375","379","369","371.77","-1.24 %","35,751.00"
"NICA","2025-03-30","370","381.9","370","376.42","1.82 %","43,372.00"
"NICA","2025-03-27","374.2","374.2","365","369.68","0.75 %","42,064.00"
"NICA","2025-03-26","360","369.8","359","366.94","1.15 %","66,232.00"
"NICA","2025-03-25","376.4","376.4","362","362.76","-1.71 %","56,734.00"
"NICA","2025-03-24","372","372","360.2","369.08","1.12 %","31,813.00"
"NICA","2025-03-23","371","375","364","365","-1.70 %","58,246.00"
"NICA","2025-03-20","373.6","375","370","371.31","-0.21 %","26,250.00"
"NICA","2025-03-19","375","376","371.5","372.1","-0.75 %","28,240.00"
"NICA","2025-03-18","383","383","372","374.9","-0.29 %","46,712.00"
"NICA","2025-03-17","379","382","374","376","-0.53 %","52,266.00"
"NICA","2025-03-16","381","389.7","375","378","-1.56 %","47,059.00"
"NICA","2025-03-12","380","384","379.1","384","1.32 %","37,447.00"
"NICA","2025-03-11","380","384","375.5","379","-0.79 %","52,438.00"
"NICA","2025-03-10","379.8","393.5","379.8","382","-1.42 %","51,563.00"
"NICA","2025-03-09","402","402","387","387.5","-1.90 %","53,120.00"
"NICA","2025-03-06","391","397","390.1","395","1.02 %","57,950.00"
"NICA","2025-03-05","402","402","390.2","391","-1.51 %","75,942.00"
"NICA","2025-03-04","405","409","397","397","-1.73 %","81,739.00"
"NICA","2025-03-03","410","417.9","402","404","-1.46 %","104,126.00"
"NICA","2025-03-02","406","410.9","392","410","2.76 %","158,503.00"
"NICA","2025-02-27","381","404","381","399","6.54 %","180,854.00"
"NICA","2025-02-25","375","379.8","373.5","374.5","0.67 %","64,721.00"
