"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLIC","2025-05-04","754","765","750","752.34","-0.72 %","50,931.00"
"NLIC","2025-04-30","763","765","753.3","757.8","0.24 %","27,880.00"
"NLIC","2025-04-29","771","779","755","756.02","-1.45 %","40,678.00"
"NLIC","2025-04-28","763.1","774","763","767.12","-0.40 %","28,941.00"
"NLIC","2025-04-27","775","786","767.4","770.21","-0.46 %","47,091.00"
"NLIC","2025-04-24","791.8","791.8","770","773.76","-0.33 %","31,406.00"
"NLIC","2025-04-23","769","785","769","776.31","-0.75 %","23,348.00"
"NLIC","2025-04-22","771","806.3","767","782.15","1.27 %","39,061.00"
"NLIC","2025-04-21","775","777","764","772.36","-0.17 %","21,361.00"
"NLIC","2025-04-20","786","788","773","773.64","-1.54 %","44,780.00"
"NLIC","2025-04-17","775","795","775","785.75","0.70 %","35,904.00"
"NLIC","2025-04-16","780.1","785","778","780.28","-0.12 %","16,834.00"
"NLIC","2025-04-15","770","788.5","770","781.2","1.93 %","26,594.00"
"NLIC","2025-04-13","772","775","765","766.41","-0.62 %","25,608.00"
"NLIC","2025-04-10","760.1","789.8","760.1","771.23","-0.56 %","31,357.00"
"NLIC","2025-04-09","790","790","773","775.54","0.02 %","19,913.00"
"NLIC","2025-04-08","765","779.9","765","775.4","-0.37 %","30,470.00"
"NLIC","2025-04-07","763.3","783.9","763.3","778.29","-0.07 %","24,832.00"
"NLIC","2025-04-03","790","790","775.4","778.87","-0.46 %","31,507.00"
"NLIC","2025-04-02","798","798","776.3","782.48","0.01 %","14,982.00"
"NLIC","2025-04-01","774.5","799.5","774.5","782.44","-0.99 %","27,619.00"
"NLIC","2025-03-30","770","803.4","770","790.26","0.78 %","62,960.00"
"NLIC","2025-03-27","752.6","788","752.6","784.14","2.12 %","45,574.00"
"NLIC","2025-03-26","740.1","770.1","740.1","767.87","2.38 %","45,050.00"
"NLIC","2025-03-25","754","760.2","746.2","750.03","-2.48 %","50,869.00"
"NLIC","2025-03-24","739","773.9","739","769.1","1.99 %","33,879.00"
"NLIC","2025-03-23","760","770","748","754.08","-2.02 %","51,829.00"
"NLIC","2025-03-20","775","780","768.6","769.6","-0.70 %","17,367.00"
"NLIC","2025-03-19","766","785","766","775","-0.70 %","29,512.00"
"NLIC","2025-03-18","787.5","793.4","780","780.5","-0.45 %","23,109.00"
"NLIC","2025-03-17","770","790.3","770","784","-0.10 %","28,054.00"
"NLIC","2025-03-16","799","799","771","784.8","-0.15 %","41,390.00"
"NLIC","2025-03-12","770","790","770","786","0.77 %","34,071.00"
"NLIC","2025-03-11","795","800","779","780","-1.52 %","48,691.00"
"NLIC","2025-03-10","785.1","814","785.1","792","-0.98 %","44,060.00"
"NLIC","2025-03-09","833.5","833.5","799.1","799.8","-2.13 %","60,791.00"
"NLIC","2025-03-06","833.9","840.4","816.5","817.2","-0.83 %","66,136.00"
"NLIC","2025-03-05","846.9","847","819","824","-2.70 %","111,725.00"
"NLIC","2025-03-04","865","875","840","846.9","-0.60 %","144,411.00"
"NLIC","2025-03-03","858","880","851","852","1.25 %","191,519.00"
"NLIC","2025-03-02","779","841.5","778","841.5","10.00 %","248,954.00"
"NLIC","2025-02-27","748","765","745","765","2.41 %","68,396.00"
"NLIC","2025-02-25","739","750","739","747","1.08 %","30,915.00"
"NLIC","2025-02-24","755","760","739","739","-1.99 %","50,922.00"
"NLIC","2025-02-23","750","759.8","739","754","0.00 %","52,843.00"
"NLIC","2025-02-20","744","760.8","738","754","2.03 %","64,558.00"
"NLIC","2025-02-18","726","746","726","739","2.00 %","51,697.00"
