"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAPDBL","2025-06-19","973","973","873","898.38","-5.90 %","89,141.00"
"SAPDBL","2025-06-18","1011","1029","927.8","954.69","-7.39 %","81,282.00"
"SAPDBL","2025-06-17","1037.5","1057","1016.8","1030.84","-2.62 %","26,035.00"
"SAPDBL","2025-06-16","1060.6","1078","990","1058.59","1.80 %","96,213.00"
"SAPDBL","2025-06-15","1001.1","1053.5","995","1039.86","3.89 %","76,753.00"
"SAPDBL","2025-06-12","1050","1060","994.8","1000.95","-2.77 %","68,295.00"
"SAPDBL","2025-06-11","1060.1","1081","1003","1029.46","-4.83 %","69,764.00"
"SAPDBL","2025-06-10","1061.3","1148","1050.1","1081.66","-0.12 %","93,321.00"
"SAPDBL","2025-06-09","1118.5","1118.5","1027.2","1082.93","-5.11 %","117,295.00"
"SAPDBL","2025-06-08","1067.1","1197.7","996","1141.26","4.81 %","232,016.00"
"SAPDBL","2025-06-05","1010","1091","980","1088.85","9.50 %","187,206.00"
"SAPDBL","2025-06-04","994.6","1008","955.4","994.4","1.97 %","55,472.00"
"SAPDBL","2025-06-03","999.5","1018","968","975.15","-4.38 %","54,400.00"
"SAPDBL","2025-06-02","941","1035.7","941","1019.86","8.31 %","132,922.00"
"SAPDBL","2025-05-28","903","992","903","941.57","3.96 %","70,636.00"
"SAPDBL","2025-05-27","832.1","916","832.1","905.69","7.60 %","79,890.00"
"SAPDBL","2025-05-26","859.3","893","836","841.69","-0.10 %","33,921.00"
"SAPDBL","2025-05-25","870.5","883","825","842.53","-5.07 %","58,009.00"
"SAPDBL","2025-05-22","907","931","872.1","887.5","-2.12 %","44,837.00"
"SAPDBL","2025-05-21","883","952","883","906.72","4.74 %","108,683.00"
"SAPDBL","2025-05-20","802.7","865.7","799","865.7","10.00 %","75,617.00"
"SAPDBL","2025-05-19","711","787","706.3","787","10.00 %","58,030.00"
"SAPDBL","2025-05-18","751.2","754.8","709.1","715.48","-5.03 %","50,405.00"
"SAPDBL","2025-05-15","780","795.6","750","753.37","-5.27 %","42,931.00"
"SAPDBL","2025-05-14","815","820","774.2","795.24","-0.51 %","32,386.00"
"SAPDBL","2025-05-13","820","843","785.2","799.29","-1.73 %","65,264.00"
"SAPDBL","2025-05-11","832","864","807","813.33","-4.13 %","43,273.00"
"SAPDBL","2025-05-08","892","892","816","848.41","-3.12 %","43,160.00"
"SAPDBL","2025-05-07","850","923","810.2","875.73","2.61 %","81,711.00"
"SAPDBL","2025-05-06","881.9","916","830","853.46","-5.15 %","37,712.00"
"SAPDBL","2025-05-05","955.7","955.7","888","899.83","-4.02 %","50,668.00"
"SAPDBL","2025-05-04","1016.8","1037","926.5","937.52","-5.96 %","105,773.00"
"SAPDBL","2025-04-30","1027","1046.9","951","996.94","-3.05 %","50,163.00"
"SAPDBL","2025-04-29","1076.7","1076.7","1021.7","1028.29","-2.59 %","24,476.00"
"SAPDBL","2025-04-28","1131","1131","1048","1055.59","-8.45 %","50,908.00"
"SAPDBL","2025-04-27","1090","1174.6","1013","1153.02","5.81 %","118,892.00"
"SAPDBL","2025-04-24","1143","1165.8","1084.9","1089.67","-2.90 %","29,947.00"
"SAPDBL","2025-04-23","1131.6","1160","1118.1","1122.21","-2.81 %","12,719.00"
"SAPDBL","2025-04-22","1130.7","1199","1127","1154.6","0.08 %","65,146.00"
"SAPDBL","2025-04-21","1124.9","1160","1120.4","1153.69","2.94 %","66,834.00"
"SAPDBL","2025-04-20","1155.9","1177.9","1110","1120.73","-4.98 %","43,766.00"
"SAPDBL","2025-04-17","1189.9","1200","1135.3","1179.48","0.50 %","81,385.00"
"SAPDBL","2025-04-16","1118","1225","1118","1173.65","4.83 %","73,017.00"
"SAPDBL","2025-04-15","1020","1119.6","1012","1119.6","10.00 %","62,139.00"
"SAPDBL","2025-04-13","1026.4","1066.9","990","1017.85","-2.81 %","35,543.00"
"SAPDBL","2025-04-10","1060.2","1080","1041.9","1047.28","-2.14 %","38,264.00"
"SAPDBL","2025-04-09","1071","1100","1065","1070.22","-0.11 %","29,704.00"
"SAPDBL","2025-04-08","1071","1092","1065","1071.37","-0.04 %","21,621.00"
"SAPDBL","2025-04-07","1110","1110","1070","1071.82","-3.65 %","22,668.00"
"SAPDBL","2025-04-03","1137.8","1153","1092","1112.48","-0.28 %","34,376.00"
"SAPDBL","2025-04-02","1065.3","1142","1065.3","1115.56","3.36 %","59,384.00"
"SAPDBL","2025-04-01","1077.1","1113","1072","1079.26","-1.63 %","34,374.00"
"SAPDBL","2025-03-30","1087.9","1119","1078.1","1097.13","-0.09 %","58,002.00"
"SAPDBL","2025-03-27","1080","1120","1080","1098.11","-0.23 %","50,769.00"
"SAPDBL","2025-03-26","1069.1","1133.1","1069.1","1100.59","1.05 %","25,389.00"
"SAPDBL","2025-03-25","1133.9","1144","1083","1089.19","-5.11 %","56,565.00"
"SAPDBL","2025-03-24","1139.1","1167.9","1139.1","1147.86","-1.14 %","25,000.00"
"SAPDBL","2025-03-23","1200","1213","1154","1161.09","-2.88 %","55,708.00"
"SAPDBL","2025-03-20","1159","1199","1158","1195.58","1.32 %","36,289.00"
"SAPDBL","2025-03-19","1144","1191.3","1144","1180","1.46 %","55,525.00"
"SAPDBL","2025-03-18","1198.5","1198.5","1153","1163","-1.02 %","26,679.00"
"SAPDBL","2025-03-17","1190","1190","1148","1175","0.44 %","24,622.00"
"SAPDBL","2025-03-16","1205.1","1210","1142","1169.9","-2.91 %","60,860.00"
"SAPDBL","2025-03-12","1262","1262","1190","1205","-2.98 %","48,743.00"
"SAPDBL","2025-03-11","1243.7","1284","1241","1242","-2.13 %","37,906.00"
"SAPDBL","2025-03-10","1273.8","1293.3","1210.4","1269","1.61 %","115,109.00"
"SAPDBL","2025-03-09","1225","1256.9","1211.3","1248.9","1.95 %","61,544.00"
"SAPDBL","2025-03-05","1244.7","1287","1190","1200","-5.51 %","50,958.00"
"SAPDBL","2025-03-04","1265","1302","1229.9","1270","0.47 %","96,214.00"
"SAPDBL","2025-03-03","1250","1275","1244.19","1264","2.85 %","62,274.00"
"SAPDBL","2025-03-02","1157","1234","1140","1229","8.09 %","93,033.00"
"SAPDBL","2025-02-27","1137.3","1206","1116.2","1137","1.97 %","45,138.00"
"SAPDBL","2025-02-25","1159","1172.9","1112.3","1115","-2.19 %","49,099.00"
"SAPDBL","2025-02-24","1138","1184","1135","1140","0.26 %","63,355.00"
"SAPDBL","2025-02-23","1110.2","1150.9","1087.8","1137","0.44 %","39,327.00"
"SAPDBL","2025-02-20","1118.5","1169.9","1095","1132","-0.81 %","50,518.00"
"SAPDBL","2025-02-18","1242.8","1242.8","1141.3","1141.3","-10.00 %","135,235.00"
"SAPDBL","2025-02-17","1380.9","1380.9","1268.1","1268.1","-10.00 %","54,767.00"
"SAPDBL","2025-02-16","1289.5","1437.2","1202.5","1409","7.08 %","149,770.00"
"SAPDBL","2025-02-13","1317","1334.1","1241.7","1315.8","-0.17 %","146,535.00"
"SAPDBL","2025-02-12","1269.6","1364","1244.3","1318","3.81 %","154,135.00"
"SAPDBL","2025-02-11","1169","1280","1169","1269.6","8.52 %","149,501.00"
"SAPDBL","2025-02-10","1106","1188","1106","1169.9","5.78 %","125,464.00"
"SAPDBL","2025-02-09","1159.6","1200","1106","1106","-6.52 %","129,192.00"
"SAPDBL","2025-02-06","1176","1232.8","1159.4","1183.2","-1.40 %","79,356.00"
"SAPDBL","2025-02-05","1226","1226","1161.1","1200","-4.08 %","56,472.00"
"SAPDBL","2025-02-04","1362.2","1362.2","1251","1251","-9.99 %","47,252.00"
"SAPDBL","2025-02-03","1252.7","1389.9","1205.4","1389.9","8.74 %","258,669.00"
"SAPDBL","2025-02-02","1364.6","1364.6","1253.2","1278.2","-8.20 %","277,122.00"
"SAPDBL","2025-01-28","1430.8","1572","1328.9","1392.4","-4.63 %","272,800.00"
"SAPDBL","2025-01-27","1563.1","1563.1","1435.5","1460","-8.46 %","197,438.00"
"SAPDBL","2025-01-26","1470","1622.7","1357.3","1595","6.33 %","277,777.00"
"SAPDBL","2025-01-23","1390","1501.5","1275","1500","9.89 %","229,032.00"
"SAPDBL","2025-01-22","1247.6","1376.6","1175.1","1365","7.23 %","196,478.00"
"SAPDBL","2025-01-21","1177","1295.8","1122.1","1273","8.06 %","182,543.00"
"SAPDBL","2025-01-20","1190","1213","1150","1178","-1.26 %","34,804.00"
"SAPDBL","2025-01-19","1163","1221","1152.1","1193","1.53 %","61,786.00"
"SAPDBL","2025-01-16","1200","1208","1167","1175","-2.31 %","25,103.00"
"SAPDBL","2025-01-15","1171.9","1240","1169.7","1202.8","4.68 %","53,539.00"
"SAPDBL","2025-01-13","1169","1213","1136.8","1149","-0.35 %","72,485.00"
"SAPDBL","2025-01-12","1150","1195","1110","1153","0.26 %","54,840.00"
"SAPDBL","2025-01-09","1292.3","1292.3","1143.7","1150","-9.23 %","91,084.00"
"SAPDBL","2025-01-08","1178","1270","1178","1267","9.70 %","102,679.00"
"SAPDBL","2025-01-07","1069","1155","1060","1155","10.00 %","128,189.00"
"SAPDBL","2025-01-06","989.4","1067","971","1050","8.25 %","102,762.00"
"SAPDBL","2025-01-05","945","1025","945","970","2.65 %","64,962.00"
"SAPDBL","2025-01-02","850.8","945.8","850.8","945","9.90 %","57,134.00"
"SAPDBL","2025-01-01","831","877.9","822","859.9","5.46 %","71,801.00"
"SAPDBL","2024-12-31","854.7","889.9","788.9","815.4","-6.50 %","77,644.00"
"SAPDBL","2024-12-29","950","983.9","872.1","872.1","-10.00 %","108,937.00"
"SAPDBL","2024-12-26","1048.6","1048.6","963","969","-9.44 %","141,371.00"
"SAPDBL","2024-12-24","1005","1094.5","1001","1070","7.54 %","78,040.00"
"SAPDBL","2024-12-23","1024.9","1024.9","986","995","-1.39 %","76,972.00"
"SAPDBL","2024-12-22","1099","1099","1009","1009","-6.40 %","32,253.00"
"SAPDBL","2024-12-19","1077","1109","1070","1078","-1.82 %","43,075.00"
"SAPDBL","2024-12-18","1060.1","1120","1055","1098","2.81 %","56,522.00"
"SAPDBL","2024-12-17","1067.2","1090","1067.2","1068","-1.92 %","54,331.00"
"SAPDBL","2024-12-16","1101.7","1101.7","1074","1088.9","0.81 %","55,754.00"
"SAPDBL","2024-12-12","1103","1119.7","1069.1","1080.1","-2.07 %","81,969.00"
"SAPDBL","2024-12-11","1089","1108","1089","1102.9","1.28 %","66,199.00"
"SAPDBL","2024-12-10","1105","1125.7","1080","1089","-1.45 %","33,768.00"
"SAPDBL","2024-12-09","1122","1150","1090","1105","0.45 %","62,281.00"
"SAPDBL","2024-12-08","1050","1157","1050","1100","2.81 %","107,331.00"
"SAPDBL","2024-12-05","1097","1105","1060","1069.9","-0.94 %","69,950.00"
"SAPDBL","2024-12-04","1090","1136","1062","1080","-1.82 %","53,134.00"
"SAPDBL","2024-12-03","1090","1141","1050.1","1100","0.18 %","91,617.00"
"SAPDBL","2024-12-02","1100","1180","1069","1098","-2.14 %","144,082.00"
"SAPDBL","2024-12-01","1005","1122","986.9","1122","10.00 %","137,536.00"
"SAPDBL","2024-11-28","1008.6","1069.9","980","1020","3.14 %","114,676.00"
"SAPDBL","2024-11-27","895","988.9","881.2","988.9","10.00 %","239,586.00"
"SAPDBL","2024-11-26","909.5","933","891.4","899","-3.13 %","67,864.00"
"SAPDBL","2024-11-25","850.1","930.6","850.1","928","9.69 %","130,587.00"
"SAPDBL","2024-11-24","875","882","838","846","-1.90 %","101,460.00"
"SAPDBL","2024-11-21","866.2","897","862.4","862.4","1.54 %","90,416.00"
"SAPDBL","2024-11-20","785.9","849.3","758","849.3","10.00 %","186,495.00"
"SAPDBL","2024-11-19","785","807","765","772.1","-0.36 %","187,974.00"
"SAPDBL","2024-11-17","795.9","820","769","774.9","-1.16 %","123,986.00"
"SAPDBL","2024-11-14","751.7","794","741","784","6.38 %","123,072.00"
"SAPDBL","2024-11-13","671.1","737","670","737","10.00 %","298,377.00"
"SAPDBL","2024-11-12","668","695","655","670","2.29 %","93,029.00"
"SAPDBL","2024-11-11","677","679","650","655","-2.24 %","121,593.00"
"SAPDBL","2024-11-10","651.2","676.9","650","670","3.40 %","80,014.00"
"SAPDBL","2024-11-06","617.2","663","617.2","648","3.18 %","102,789.00"
"SAPDBL","2024-11-05","629","635","614","628","1.60 %","53,518.00"
"SAPDBL","2024-10-30","639.5","645","615.1","618.1","-1.42 %","125,855.00"
"SAPDBL","2024-10-29","570","627","569","627","10.00 %","234,660.00"
"SAPDBL","2024-10-28","554","581","550.1","570","2.93 %","197,153.00"
"SAPDBL","2024-10-27","549.1","567.1","549.1","553.8","-0.93 %","36,625.00"
"SAPDBL","2024-10-24","560","569.9","552","559","-1.86 %","56,680.00"
"SAPDBL","2024-10-23","566","584.9","561.7","569.6","-1.28 %","36,527.00"
"SAPDBL","2024-10-22","572","589.5","561","577","-0.86 %","27,304.00"
"SAPDBL","2024-10-21","573.2","598.9","545.2","582","3.56 %","159,866.00"
"SAPDBL","2024-10-20","560","572","540","562","-1.23 %","46,776.00"
"SAPDBL","2024-10-17","589","589","566","569","-1.90 %","37,255.00"
"SAPDBL","2024-10-16","580","584","568.4","580","1.72 %","45,542.00"
