"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SCB","2025-05-04","603.2","606.8","603","603.63","0.37 %","17,590.00"
"SCB","2025-04-30","608.36","612","600","601.42","-1.14 %","26,084.00"
"SCB","2025-04-29","611","625","608","608.36","-0.84 %","19,648.00"
"SCB","2025-04-28","610.2","615","610.2","613.53","0.04 %","11,379.00"
"SCB","2025-04-27","617.21","630","610","613.3","-0.63 %","62,465.00"
"SCB","2025-04-24","615","624","612","617.21","-0.47 %","18,940.00"
"SCB","2025-04-23","637.9","637.9","609.1","620.1","-1.18 %","33,745.00"
"SCB","2025-04-22","635","635","626.2","627.51","-0.87 %","10,714.00"
"SCB","2025-04-21","630","639","625.5","633.01","0.47 %","15,962.00"
"SCB","2025-04-20","636","636","622.3","630.07","-0.91 %","32,096.00"
"SCB","2025-04-17","642","642","630.1","635.87","0.24 %","20,881.00"
"SCB","2025-04-16","643","643","632.1","634.32","0.51 %","13,474.00"
"SCB","2025-04-15","642","642","630","631.07","0.26 %","12,467.00"
"SCB","2025-04-13","632","635","628","629.46","-0.26 %","12,467.00"
"SCB","2025-04-10","640","643","630","631.09","-0.38 %","29,316.00"
"SCB","2025-04-09","648","648","632","633.51","-0.30 %","16,297.00"
"SCB","2025-04-08","635","638.9","632","635.4","0.01 %","9,729.00"
"SCB","2025-04-07","648.4","648.4","635","635.34","-0.06 %","13,561.00"
"SCB","2025-04-03","643","643","630.2","635.7","0.31 %","18,730.00"
"SCB","2025-04-02","643","643","630","633.72","0.52 %","14,920.00"
"SCB","2025-04-01","635","636","629.1","630.46","-0.62 %","12,942.00"
"SCB","2025-03-30","639","639.9","633","634.4","0.63 %","23,762.00"
"SCB","2025-03-27","642","642","625.1","630.41","0.15 %","30,032.00"
"SCB","2025-03-26","626","637.5","623.1","629.44","0.55 %","12,014.00"
"SCB","2025-03-25","630","631","622.2","626.01","-0.79 %","17,121.00"
"SCB","2025-03-24","630","634","620.1","631.02","0.13 %","22,792.00"
"SCB","2025-03-23","650","650","630","630.22","-1.74 %","24,034.00"
"SCB","2025-03-20","646.1","650","640","641.41","-1.31 %","27,304.00"
"SCB","2025-03-19","660","660","647","649.9","-0.76 %","30,854.00"
"SCB","2025-03-18","666","666","650","654.9","0.29 %","16,220.00"
"SCB","2025-03-17","662","662","653","653","0.00 %","11,963.00"
"SCB","2025-03-16","661","663.5","650","653","-0.62 %","34,978.00"
